tick,fraction
1,0.02
2,0.028
3,0.025
4,0.037
5,0.05
6,0.057
7,0.071
8,0.075
9,0.073
10,0.074
11,0.078
12,0.095
13,0.114
14,0.114
15,0.112
16,0.107
17,0.101
18,0.101
19,0.102
20,0.09
21,0.111
22,0.128
23,0.159
24,0.162
25,0.169
26,0.157
27,0.154
28,0.142
29,0.175
30,0.195
31,0.194
32,0.198
33,0.191
34,0.202
35,0.19
36,0.224
37,0.216
38,0.236
39,0.246
40,0.254
41,0.277
42,0.284
43,0.299
44,0.319
45,0.334
46,0.35
47,0.363
48,0.369
49,0.359
50,0.378
51,0.359
52,0.362
53,0.358
54,0.36
55,0.353
56,0.35
57,0.347
58,0.35
59,0.349
60,0.355
61,0.359
62,0.362
63,0.373
64,0.383
65,0.394
66,0.387
67,0.359
68,0.363
69,0.373
70,0.37
71,0.363
72,0.34
73,0.321
74,0.341
75,0.332
76,0.339
77,0.342
78,0.349
79,0.324
80,0.336
81,0.343
82,0.337
83,0.348
84,0.365
85,0.371
86,0.35
87,0.344
88,0.346
89,0.374
90,0.376
91,0.399
92,0.407
93,0.425
94,0.417
95,0.434
96,0.454
97,0.453
98,0.459
99,0.478
100,0.485
101,0.501
102,0.494
103,0.508
104,0.526
105,0.495
106,0.504
107,0.511
108,0.484
109,0.466
110,0.455
111,0.472
112,0.483
113,0.476
114,0.479
115,0.49
116,0.472
117,0.476
118,0.448
119,0.415
120,0.431
121,0.439
122,0.438
123,0.433
124,0.428
125,0.437
126,0.431
127,0.43
128,0.444
129,0.467
130,0.492
131,0.493
132,0.486
133,0.518
134,0.508
135,0.491
136,0.479
137,0.488
138,0.481
139,0.471
140,0.476
141,0.505
142,0.504
143,0.507
144,0.492
145,0.489
146,0.514
147,0.522
148,0.531
149,0.493
150,0.495
151,0.486
152,0.462
153,0.444
154,0.47
155,0.488
156,0.476
157,0.458
158,0.493
159,0.543
160,0.548
161,0.545
162,0.565
163,0.576
164,0.548
165,0.544
166,0.558
167,0.566
168,0.583
169,0.58
170,0.568
171,0.58
172,0.566
173,0.568
174,0.544
175,0.527
176,0.511
177,0.5
178,0.491
179,0.502
180,0.52
181,0.542
182,0.546
183,0.54
184,0.545
185,0.525
186,0.52
187,0.512
188,0.502
189,0.489
190,0.494
191,0.499
192,0.512
193,0.524
194,0.533
195,0.565
196,0.581
197,0.58
198,0.587
199,0.571
200,0.55
201,0.543
202,0.558
203,0.548
204,0.572
205,0.583
206,0.608
207,0.635
208,0.64
209,0.631
210,0.634
211,0.627
212,0.646
213,0.647
214,0.688
215,0.692
216,0.665
217,0.675
218,0.631
219,0.632
220,0.636
221,0.663
222,0.67
223,0.658
224,0.658
225,0.67
226,0.674
227,0.669
228,0.65
229,0.674
230,0.66
231,0.639
232,0.656
233,0.657
234,0.645
235,0.67
236,0.693
237,0.692
238,0.704
239,0.73
240,0.721
241,0.737
242,0.704
243,0.722
244,0.728
245,0.758
246,0.769
247,0.792
248,0.809
249,0.813
250,0.832
251,0.819
252,0.817
253,0.84
254,0.857
255,0.846
256,0.868
257,0.876
258,0.861
259,0.867
260,0.888
261,0.893
262,0.894
263,0.898
264,0.915
265,0.909
266,0.914
267,0.907
268,0.905
269,0.906
270,0.887
271,0.894
272,0.91
273,0.914
274,0.927
275,0.935
276,0.94
277,0.942
278,0.943
279,0.944
280,0.946
281,0.944
282,0.958
283,0.952
284,0.95
285,0.945
286,0.939
287,0.953
288,0.956
289,0.953
290,0.951
291,0.956
292,0.961
293,0.962
294,0.95
295,0.953
296,0.95
297,0.949
298,0.956
299,0.941
300,0.937
301,0.946
302,0.945
303,0.94
304,0.928
305,0.924
306,0.918
307,0.943
308,0.942
309,0.952
310,0.954
311,0.957
312,0.955
313,0.963
314,0.961
315,0.966
316,0.976
317,0.983
318,0.968
319,0.972
320,0.968
321,0.973
322,0.97
323,0.973
324,0.972
325,0.963
326,0.97
327,0.973
328,0.983
329,0.981
330,0.98
331,0.98
332,0.976
333,0.98
334,0.979
335,0.979
336,0.969
337,0.968
338,0.959
339,0.97
340,0.969
341,0.972
342,0.979
343,0.974
344,0.975
345,0.964
346,0.962
347,0.96
348,0.957
349,0.961
350,0.956
351,0.959
352,0.97
353,0.978
354,0.973
355,0.962
356,0.967
357,0.974
358,0.968
359,0.977
360,0.974
361,0.962
362,0.968
363,0.976
364,0.977
365,0.98
366,0.989
367,0.985
368,0.98
369,0.979
370,0.978
371,0.985
372,0.978
373,0.98
374,0.981
375,0.978
376,0.978
377,0.969
378,0.967
379,0.964
380,0.975
381,0.974
382,0.973
383,0.98
384,0.977
385,0.98
386,0.977
387,0.976
388,0.982
389,0.981
390,0.979
391,0.972
392,0.977
393,0.978
394,0.973
395,0.964
396,0.973
397,0.977
398,0.975
399,0.978
400,0.986
401,0.98
402,0.981
403,0.982
404,0.98
405,0.988
406,0.986
407,0.98
408,0.981
409,0.986
410,0.981
411,0.974
412,0.979
413,0.978
414,0.978
415,0.982
416,0.988
417,0.985
418,0.988
419,0.981
420,0.977
421,0.977
422,0.976
423,0.973
424,0.978
425,0.979
426,0.981
427,0.982
428,0.989
429,0.982
430,0.974
431,0.972
432,0.975
433,0.974
434,0.979
435,0.983
436,0.987
437,0.982
438,0.986
439,0.981
440,0.972
441,0.976
442,0.983
443,0.987
444,0.979
445,0.975
446,0.973
447,0.98
448,0.988
449,0.985
450,0.981
451,0.982
452,0.977
453,0.983
454,0.991
455,0.988
456,0.98
457,0.98
458,0.979
459,0.975
460,0.968
461,0.966
462,0.975
463,0.975
464,0.979
465,0.985
466,0.985
467,0.979
468,0.98
469,0.978
470,0.98
471,0.978
